CAD_U|CASLU|T3438|AIQ|20120627001421|B-15B|||//6/27/2012 12:14:21 AM
CAD_U|CASLU|P3424|AIQ|20120627001645|A-36E|||//6/27/2012 12:16:45 AM
CAD_U|CASLU|D3404|AIQ|20120627001739|VNT|||//6/27/2012 12:17:39 AM
CAD_U|CASLU|D3404|AIQ|20120627001739|VNT|||//6/27/2012 12:17:44 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//6/27/2012 12:27:02 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//6/27/2012 12:27:02 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//6/27/2012 12:27:02 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//6/27/2012 12:27:03 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//6/27/2012 12:27:03 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//6/27/2012 12:27:03 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//6/27/2012 12:27:04 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//6/27/2012 12:27:04 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//6/27/2012 12:27:05 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//6/27/2012 12:27:05 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//6/27/2012 12:27:05 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//6/27/2012 12:27:06 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//6/27/2012 12:27:06 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//6/27/2012 12:27:06 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//6/27/2012 12:27:07 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//6/27/2012 12:27:07 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//6/27/2012 12:27:07 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//6/27/2012 12:27:08 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//6/27/2012 12:27:08 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//6/27/2012 12:27:08 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//6/27/2012 12:27:10 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//6/27/2012 12:27:10 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//6/27/2012 12:27:10 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//6/27/2012 12:27:11 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//6/27/2012 12:27:11 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//6/27/2012 12:27:11 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//6/27/2012 12:27:12 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//6/27/2012 12:27:12 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//6/27/2012 12:27:12 AM
CAD_U|CABEU|E4694|AIQ|20120621215402|BEU-30|||//6/27/2012 12:27:13 AM
CAD_U|CABEU|E4694|AIQ|20120621215402|BEU-30|||//6/27/2012 12:27:13 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//6/27/2012 12:27:14 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//6/27/2012 12:27:14 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//6/27/2012 12:27:14 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//6/27/2012 12:27:15 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//6/27/2012 12:27:15 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//6/27/2012 12:27:15 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//6/27/2012 12:27:16 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//6/27/2012 12:27:16 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//6/27/2012 12:27:16 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//6/27/2012 12:27:17 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//6/27/2012 12:27:17 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//6/27/2012 12:27:17 AM
CAD_U|CAFKU|E4354|AIQ|20120621215402|FKU-1A|||//6/27/2012 12:27:18 AM
CAD_U|CAFKU|E4354|AIQ|20120621215402|FKU-1A|||//6/27/2012 12:27:18 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//6/27/2012 12:27:20 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//6/27/2012 12:27:20 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//6/27/2012 12:27:20 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//6/27/2012 12:27:21 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//6/27/2012 12:27:21 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//6/27/2012 12:27:21 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//6/27/2012 12:27:22 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//6/27/2012 12:27:22 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//6/27/2012 12:27:22 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//6/27/2012 12:27:23 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//6/27/2012 12:27:23 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//6/27/2012 12:27:24 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//6/27/2012 12:27:24 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//6/27/2012 12:27:24 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//6/27/2012 12:27:25 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//6/27/2012 12:27:25 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//6/27/2012 12:27:25 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//6/27/2012 12:27:26 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//6/27/2012 12:27:26 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//6/27/2012 12:27:26 AM
CAD_U|CAFKU|E4383|AIQ|20120521100621|FKU-1A|||//6/27/2012 12:27:27 AM
CAD_U|CAFKU|E4383|AIQ|20120521100621|FKU-1A|||//6/27/2012 12:27:27 AM
CAD_U|CAFKU|E4383|AIQ|20120521100621|FKU-1A|||//6/27/2012 12:27:27 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//6/27/2012 12:27:28 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//6/27/2012 12:27:28 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//6/27/2012 12:27:28 AM
CAD_U|CAFKU|MIR1|AIQ|20120521091529|FKU-2|||//6/27/2012 12:27:29 AM
CAD_U|CAFKU|MIR1|AIQ|20120521091529|FKU-2|||//6/27/2012 12:27:29 AM
CAD_U|CAFKU|MIR1|AIQ|20120521091529|FKU-2|||//6/27/2012 12:27:30 AM
CAD_U|CAFKU|MIR2|AIQ|20120521091620|FKU-2|||//6/27/2012 12:27:31 AM
CAD_U|CAFKU|MIR2|AIQ|20120521091620|FKU-2|||//6/27/2012 12:27:31 AM
CAD_U|CAFKU|MIR2|AIQ|20120521091620|FKU-2|||//6/27/2012 12:27:31 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//6/27/2012 12:27:32 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//6/27/2012 12:27:32 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//6/27/2012 12:27:32 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//6/27/2012 12:27:33 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//6/27/2012 12:27:33 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//6/27/2012 12:27:33 AM
CAD_U|CACDF|C406|AIQ|20120625131722|BVHB|||//6/27/2012 12:48:15 AM
CAD_U|CACDF|C406|AIQ|20120625131722|BVHB|||//6/27/2012 12:48:15 AM
CAD_U|CACDF|C406|AIQ|20120625131722|BVHB|||//6/27/2012 12:48:15 AM
CAD_U|CABEU|D4641|AIQ|20120616085956|BEU-30|||//6/27/2012 12:48:16 AM
CAD_U|CABEU|D4641|AIQ|20120616085956|BEU-30|||//6/27/2012 12:48:16 AM
CAD_U|CABEU|D4641|AIQ|20120616085956|BEU-30|||//6/27/2012 12:48:16 AM
CAD_U|CABEU|D4643|AIQ|20120523121341|BEU-30|||//6/27/2012 12:48:17 AM
CAD_U|CABEU|D4643|AIQ|20120523121341|BEU-30|||//6/27/2012 12:48:17 AM
CAD_U|CABEU|D4643|AIQ|20120523121341|BEU-30|||//6/27/2012 12:48:17 AM
CAD_U|CABEU|D4645|AIQ|20120622080934|BEU-30|||//6/27/2012 12:48:18 AM
CAD_U|CABEU|D4645|AIQ|20120622080934|BEU-30|||//6/27/2012 12:48:18 AM
CAD_U|CABEU|D4645|AIQ|20120622080934|BEU-30|||//6/27/2012 12:48:18 AM
CAD_U|CABEU|E4661|AIQ|20120625075435|BEU-30|||//6/27/2012 12:48:19 AM
CAD_U|CABEU|E4661|AIQ|20120625075435|BEU-30|||//6/27/2012 12:48:19 AM
CAD_U|CABEU|E4661|AIQ|20120625075435|BEU-30|||//6/27/2012 12:48:19 AM
CAD_U|CABEU|E4663|AIQ|20120625073355|BEU-30|||//6/27/2012 12:48:21 AM
CAD_U|CABEU|E4663|AIQ|20120625073355|BEU-30|||//6/27/2012 12:48:21 AM
CAD_U|CABEU|E4663|AIQ|20120625073355|BEU-30|||//6/27/2012 12:48:21 AM
CAD_U|CABEU|E4664|AIQ|20120626164205|BEU-31|||//6/27/2012 12:48:22 AM
CAD_U|CABEU|E4664|AIQ|20120626164205|BEU-31|||//6/27/2012 12:48:22 AM
CAD_U|CABEU|E4665|AIQ|20120625074648|BEU-30|||//6/27/2012 12:48:23 AM
CAD_U|CABEU|E4665|AIQ|20120625074648|BEU-30|||//6/27/2012 12:48:23 AM
CAD_U|CABEU|E4665|AIQ|20120625074648|BEU-30|||//6/27/2012 12:48:23 AM
CAD_U|CABEU|E4666|AIQ|20120625075040|BEU-30|||//6/27/2012 12:48:24 AM
CAD_U|CABEU|E4666|AIQ|20120625075040|BEU-30|||//6/27/2012 12:48:24 AM
