CAD_U|CASLU|B3413|AOS|20140225000203|CRAWFO|14002308|FSC|CASLU2014001733//2/25/2014 12:02:03 AM
CAD_U|CASLC|R30|RTQ|20140225001117|R-17A|14002308|FSC|CASLU2014001733//2/25/2014 12:11:17 AM
CAD_U|CASLU|E3468|AIQ|20140224153256|G-16A|||//2/25/2014 12:16:17 AM
CAD_U|CASLU|E3468|AIQ|20140224153256|G-16A|||//2/25/2014 12:16:17 AM
CAD_U|CASLU|E3468|AIQ|20140224153256|G-16A|||//2/25/2014 12:16:24 AM
CAD_U|CASLU|E3468|AIQ|20140224153256|G-16A|||//2/25/2014 12:16:31 AM
CAD_U|CACDF|C406|AIQ|20140215065153|BVHB|||//2/25/2014 12:18:04 AM
CAD_U|CACDF|C406|AIQ|20140215065153|BVHB|||//2/25/2014 12:18:04 AM
CAD_U|CACDF|C406|AIQ|20140215065153|BVHB|||//2/25/2014 12:18:04 AM
CAD_U|CABEU|D4641|AIQ|20140208062451|BEU-30|||//2/25/2014 12:18:05 AM
CAD_U|CABEU|D4641|AIQ|20140208062451|BEU-30|||//2/25/2014 12:18:05 AM
CAD_U|CABEU|D4641|AIQ|20140208062451|BEU-30|||//2/25/2014 12:18:05 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//2/25/2014 12:18:06 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//2/25/2014 12:18:06 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//2/25/2014 12:18:06 AM
CAD_U|CAFKU|D4340|AIQ|20140221074741|FKU-1A|||//2/25/2014 12:18:07 AM
CAD_U|CAFKU|D4340|AIQ|20140221074741|FKU-1A|||//2/25/2014 12:18:07 AM
CAD_U|CAFKU|D4340|AIQ|20140221074741|FKU-1A|||//2/25/2014 12:18:07 AM
CAD_U|CABEU|E4661|AIQ|20140221184903|BEU-30|||//2/25/2014 12:18:08 AM
CAD_U|CABEU|E4661|AIQ|20140221184903|BEU-30|||//2/25/2014 12:18:08 AM
CAD_U|CABEU|E4661|AIQ|20140221184903|BEU-30|||//2/25/2014 12:18:08 AM
CAD_U|CABEU|E4663|AIQ|20140205172823|BEU-30|||//2/25/2014 12:18:09 AM
